date,price
6/24/2015,466.7305212
6/25/2015,466.9137904
6/26/2015,467.3261407
6/27/2015,464.8977484
6/28/2015,461.3692452
6/29/2015,455.3190985
6/30/2015,452.2475642
7/1/2015,481.0211543
7/2/2015,487.38501
7/3/2015,486.7899015
7/4/2015,495.2116028
7/5/2015,488.0258796
7/6/2015,494.0217582
7/7/2015,494.3878705
7/8/2015,501.7547087
7/9/2015,505.826111
7/10/2015,507.8386918
7/11/2015,504.1335871
7/12/2015,503.8133668
7/13/2015,504.9569916
7/14/2015,510.902991
7/15/2015,510.4456567
7/16/2015,509.7139046
7/17/2015,509.0736039
7/18/2015,510.3541889
7/19/2015,506.4664953
7/20/2015,508.0216456
7/21/2015,504.2708231
7/22/2015,502.1664541
7/23/2015,499.2840913
7/24/2015,498.7350314
7/25/2015,494.982791
7/26/2015,495.4404123
7/27/2015,498.3232284
7/28/2015,502.8984289
7/29/2015,502.7611853
7/30/2015,505.7803687
7/31/2015,492.7860885
8/1/2015,481.8453471
8/2/2015,492.419952
8/3/2015,503.9048588
8/4/2015,521.3736738
8/5/2015,538.7391829
8/6/2015,535.769587
8/7/2015,529.6465885
8/8/2015,529.600889
8/9/2015,529.5094899
8/10/2015,534.398891
8/11/2015,525.6704363
8/12/2015,526.4474337
8/13/2015,527.4072217
8/14/2015,531.3374108
8/15/2015,523.2478821
8/16/2015,527.2244077
8/17/2015,524.8019997
8/18/2015,526.9958883
8/19/2015,527.2244077
8/20/2015,531.0632309
8/21/2015,531.8400666
8/22/2015,540.9319007
8/23/2015,542.0738694
8/24/2015,546.8239333
8/25/2015,545.179776
8/26/2015,548.1483199
8/27/2015,547.7829784
8/28/2015,547.4176319
8/29/2015,545.8191825
8/30/2015,545.545153
8/31/2015,543.444167
9/1/2015,548.2396545
9/2/2015,550.9795483
9/3/2015,538.8305497
9/4/2015,533.7592084
9/5/2015,530.286372
9/6/2015,529.4637903
9/7/2015,520.0936476
9/8/2015,520.5508072
9/9/2015,512.503595
9/10/2015,507.9759073
9/11/2015,515.1558001
9/12/2015,518.1277679
9/13/2015,517.3047964
9/14/2015,503.1729139
